"Question","Option A","Option B","Option C","Option D","Option E","Correct Answer","Explanation"
"Which type of epithelium covers the crest and outer surface of the marginal and attached gingiva?","Sulcular epithelium","Junctional epithelium","Oral epithelium","Gingival epithelium","Alveolar epithelium","Option C","The oral epithelium covers the crest and outer surface of the marginal gingiva and the surface of the attached gingiva."
"What is the main cell type of the oral epithelium responsible for producing cytokeratin?","Melanocytes","Langerhans cells","Merkel cells","Keratinocytes","Fibroblasts","Option D","The majority of cells of the oral epithelium are keratinocytes characterized by their ability to produce filaments of cytoplasmic keratin."
"Which layer of the oral epithelium contains keratohyalin and has flattened cells with no organelles?","Basal layer","Spinosum stratum","Granular stratum","Stratum corneum","Stratum lucidum","Option C","The granular stratum has flattened form, lacks organelles, and contains numerous electron-dense bodies of keratohyalin."
"The junctional epithelium attaches to the tooth surface via:","Desmosomes","Hemidesmosomes and internal basal lamina","Gap junctions","Tight junctions","Adherens junctions","Option B","The junctional epithelium has an internal basal lamina (epithelial attachment) attached to the dental surface."
"What is the turnover rate of the junctional epithelium?","10-15 days","4-6 days","2-3 weeks","1-2 months","24 hours","Option B","The junctional epithelium is in constant renewal with a turnover rate of 4-6 days."
"Which cells in the gingival connective tissue are responsible for synthesis and degradation of collagen?","Mast cells","Macrophages","Fibroblasts","Plasma cells","Neutrophils","Option C","Fibroblasts are the predominant cell type in the lamina propria and are responsible for synthesis, resorption and enzymatic degradation of collagen."
"What is the approximate thickness of the periodontal ligament?","0.1 mm","0.2 mm (200 μm)","0.5 mm","1 mm","2 mm","Option B","The periodontal ligament thickness is about 0.2mm (200μm) although with high variations."
"Which fibers of the periodontal ligament bear the brunt of vertical masticatory stresses?","Cresto-alveolar fibers","Horizontal fibers","Oblique fibers","Apical fibers","Inter-radicular fibers","Option C","Oblique fibers are the largest group and bear the brunt of vertical masticatory stresses, transforming such stresses into tension on the alveolar bone."
"Which type of cementum is formed first and covers the cervical third of the root?","Cellular cementum","Acellular cementum","Intermediate cementum","Hypercementosis","Osteocementum","Option B","Acellular cementum is the first cementum formed and covers approximately the cervical third or half of the root."
"The alveolar bone proper is seen radiographically as:","Cancellous bone","Trabecular bone","Lamina dura","Haversian canal","Periosteum","Option C","Alveolar bone proper is seen as the lamina dura in radiographs."
"According to the Non-specific Plaque Hypothesis, periodontal disease results from:","Presence of specific bacteria","Accumulation of plaque over time with decreased host response","Viral infection","Genetic defects only","Trauma from occlusion","Option B","The Non-specific plaque hypothesis conceived dental plaque as a biomass and believed that periodontal disease was the result of an accumulation of plaque over time, in conjunction with a decrease in host response."
"The Specific Plaque Hypothesis states that:","All plaque is equally pathogenic","Only certain plaque is pathogenic depending on specific microorganisms","Plaque has no role in disease","Only supragingival plaque matters","Only calculus causes disease","Option B","The Specific Plaque Hypothesis states that only certain plaque is pathogenic and its pathogenicity depends on the presence of specific microorganisms or their increase."
"Biofilm is defined as a bacterial community:","Freely floating in saliva","Attached to a surface and embedded in a self-produced extracellular matrix","Killed by antibiotics","Composed only of gram-positive bacteria","Without any communication between bacteria","Option B","Costerton defined biofilm as a bacterial community attached to a substratum or surface, embedded in a self-produced extracellular matrix, and displaying an altered phenotype."
"The acquired pellicle is formed by:","Bacterial multiplication","Adsorption of salivary glycoproteins and antibodies","Mineralization of plaque","Desquamation of epithelial cells","Food debris accumulation","Option B","The acquired pellicle is a layer of organic material composed of salivary glycoproteins (mucins) and antibodies."
"During the first 4-8 hours of plaque formation, which genus predominates?","Actinomyces","Fusobacterium","Streptococcus","Porphyromonas","Treponema","Option C","During the first 4-8 hours, between 60% and 80% of the bacteria belong to the genus Streptococcus."
"Which bacterium is known as a 'bridging bacterium' facilitating coaggregation of T. denticola and P. gingivalis?","A. actinomycetemcomitans","P. gingivalis","F. nucleatum","P. intermedia","T. forsythia","Option C","Fusobacterium nucleatum is defined as a bridging bacterium, as it facilitates the coaggregation of T. denticola and P. gingivalis."
"Dental calculus is:","Soft and easily removed","Mineralized dental plaque","An organized biofilm without mineralization","Materia alba","The same as the acquired pellicle","Option B","Calculus is a hard deposit formed by the mineralization of dental plaque, normally covered by non-mineralized dental plaque."
"Which of the following is a characteristic of materia alba?","Hard and mineralized","Structured yellow-greyish deposit","Soft, white accumulation of bacteria, food debris and shed cells","Cannot be removed by irrigation","Adheres strongly to enamel","Option C","Materia alba is a soft, white accumulation of bacteria, decaying food, and shed cells. It lacks an organized structure and is easily removed by irrigators."
"Supragingival calculus is most commonly found:","On all teeth equally","On lingual surfaces of mandibular incisors and buccal surfaces of maxillary first molars","Only on posterior teeth","Only on anterior teeth","On occlusal surfaces","Option B","Supragingival calculus is commonly located adjacent to salivary ducts: buccal surfaces of maxillary first molars and lingual surfaces of mandibular incisors."
"Which of the following is a keystone pathogen capable of transforming a benign microbiota into a dysbiotic one?","A. actinomycetemcomitans","F. nucleatum","P. gingivalis","P. intermedia","T. denticola","Option C","P. gingivalis is a keystone pathogen capable of triggering inflammation even when present in low numbers by altering the host immune response and transforming a benign microbiota into a dysbiotic one."
"Which bacterial complex according to Socransky is directly associated with the severity and progression of periodontitis?","Yellow complex","Green complex","Orange complex","Red complex","Purple complex","Option D","The Red complex species (P. gingivalis, T. forsythia, T. denticola) are considered pathogenic and directly associated with severity and progression of periodontal disease."
"Which bacterium has been strongly associated with aggressive periodontitis and can invade epithelial cells?","P. gingivalis","A. actinomycetemcomitans","F. nucleatum","P. intermedia","C. rectus","Option B","Aggregatibacter actinomycetemcomitans has been strongly associated with aggressive periodontitis, possesses numerous virulence factors, and has the ability to invade epithelial cells."
"Gingipains are virulence factors produced by:","A. actinomycetemcomitans","P. gingivalis","F. nucleatum","T. denticola","P. intermedia","Option B","P. gingivalis possesses gingipains, multifunctional proteins important in adhesion, tissue degradation, and evasion of host immune responses."
"In the experimental gingivitis model by Loe and Theilade, plaque accumulation led to a shift in microflora from:","Gram-negative to Gram-positive","Cocci to bacilli and spirochetes","Anaerobes to aerobes","Motile to non-motile","Proteolytic to fermenting","Option B","As health progresses to periodontitis, changes include from cocci to bacilli (and spirochetes at a later stage)."
"According to Page and Kornman's model, periodontitis is primarily:","A direct bacterial infection","A host-mediated inflammatory disease","A viral disease","A genetic disorder","A traumatic injury","Option B","Page and Kornman establish periodontitis as a multifactorial, host-mediated inflammatory disease, in which bacteria initiate the process but the host's immune response drives tissue destruction."
"Which pro-inflammatory mediator is mainly responsible for osteoclastic bone resorption in periodontitis?","IL-10","TGF-β","Prostaglandin E2 (PGE2)","Lipopolysaccharide (LPS)","IL-4","Option C","PGE2 produces vasodilation and induces the secretion of matrix metalloproteinases and osteoclastic bone resorption, playing a fundamental role in bone destruction of periodontitis."
"Matrix metalloproteinases (MMPs) in periodontitis are responsible for:","Bone formation","Collagen synthesis","Degradation of connective tissue","Antibody production","Neutrophil chemotaxis","Option C","MMPs are fundamental in the pathogenesis of periodontitis; their function is to allow homeostasis of connective tissue, but excess secretion leads to tissue destruction."
"The first line of innate immune defense in the gingival sulcus is:","Macrophages","T-lymphocytes","B-lymphocytes","Polymorphonuclear leukocytes (PMNs)","Plasma cells","Option D","PMNs are the first line of innate immune defense, migrating through the junctional epithelium to phagocytose bacteria."
"Which of the following is a known systemic modifier that has a bidirectional relationship with periodontitis?","Smoking","Diabetes mellitus","Osteoporosis","HIV infection","Pregnancy","Option B","The relationship between diabetes mellitus and periodontitis is bidirectional: periodontal treatment can positively influence glycaemic control."
"Drug-induced gingival enlargement (e.g., from phenytoin) is primarily due to:","Increase in cell number (hyperplasia)","Increase in fundamental substance secreted by fibroblasts","Inflammation caused by poor hygiene","Edema from allergic reaction","Bone growth","Option B","Drug-induced gingival enlargement is due to an increase in the fundamental substance secreted by fibroblasts, not hyperplasia."
"In the 2017 World Workshop classification, which terms were eliminated for periodontitis?","Localized and Generalized","Chronic and Aggressive","Stage and Grade","Plaque-induced and Non-plaque-induced","Suprabony and Infrabony","Option B","The 2017 classification eliminated the terms chronic and aggressive periodontitis, replacing them with Stages and Grades."
"In the 2017 classification, 'Stage' describes:","Rate of disease progression","Severity of disease and complexity of management","Patient's age","Risk factors like smoking","Response to treatment","Option B","Stages describe the severity of the disease and the complexity of its management."
"In the 2017 classification, 'Grade' provides information about:","Number of teeth lost","Severity of bone loss","Rate of progression, expected response to treatment, and impact on general health","Extent of disease (localized vs generalized)","Probing depth","Option C","Grades provide information about the rate of disease progression, expected response to treatment, and impact on the patient's general health."
"Clinical gingival health on an intact periodontium is characterized by:","Bleeding on probing","Presence of erythema","Absence of bleeding on probing, erythema, edema, and attachment loss","Probing depth >4 mm","Radiographic bone loss","Option C","Clinical gingival health on an intact periodontium includes absence of bleeding on probing, erythema, edema, and attachment and bone loss."
"A gingival recession with no loss of interproximal attachment (CEJ not detectable interproximally) is classified as:","Recession Type 1 (RT1)","Recession Type 2 (RT2)","Recession Type 3 (RT3)","Recession Type 4 (RT4)","Grade A recession","Option A","RT1 is gingival recession with no loss of interproximal attachment. Interproximal CEJ is clinically not detectable."
"According to the 2017 classification, the term 'periodontal phenotype' replaces:","Gingival biotype","Periodontal ligament","Alveolar bone morphology","Junctional epithelium","Attachment apparatus","Option A","The group strongly suggests adoption of 'periodontal phenotype' to describe the combination of gingival phenotype and buccal bone plate thickness, replacing the term 'biotype'."
"Which of the following is a characteristic of a thin periodontal phenotype?","Decreased risk for gingival recession","Periodontal probe visible through gingival tissue after insertion","Thick buccal bone plate","Increased keratinized tissue width","Lower risk of attachment loss","Option B","Thin phenotype (≤1 mm) is assessed by observing the periodontal probe shining through the gingival tissue. Thin phenotype increases risk for gingival recession."
"Necrotizing gingivitis (NG) is characterized by:","Slow progression","Pain, necrosis of interdental papillae, halitosis, and pseudomembrane","Absence of pain","Only affecting immunocompetent patients","No bleeding","Option B","NG is a painful gingival disease characterized by erythematous and inflamed tissues, ulcerations, halitosis, and decapitated interdental papillae with a grayish-white pseudomembrane."
"What is the primary feature of periodontitis as defined in the 2017 classification?","Gingival bleeding","Calculus presence","Loss of clinical attachment (radiographic bone loss, pocket formation, recession)","Tooth mobility","Pain on chewing","Option C","The primary feature of periodontitis is loss of clinical attachment, assessed by radiographic alveolar bone loss, periodontal pocket formation, and gingival recession."
"In the 2017 classification, if a patient has a history of periodontitis but after treatment shows no bleeding on probing and stable attachment, they are considered:","Healthy, but at increased risk of recurrent progression","Cured of periodontitis","Still having active periodontitis","In remission permanently","Unable to be classified","Option A","Successfully treated and stable periodontitis patients remain at increased risk of recurrent progression of periodontitis, though they have clinical gingival health."
"Which radiographic technique provides the most accurate projection of alveolar bone level?","Bisecting-angle technique","Long-cone paralleling technique","Panoramic radiography","Cephalometric radiography","Occlusal radiography","Option B","The long-cone paralleling technique provides a more accurate projection of the alveolar bone level compared to the bisecting-angle technique which elongates the image."
"The lamina dura appears radiographically as:","A radiolucent line around the root","A thin radiopaque line adjacent to the periodontal ligament","An area of bone loss","A fuzzy indistinct outline","A dark shadow at the root apex","Option B","Lamina dura is a thin radiopaque line adjacent to the periodontal ligament and at the alveolar crest, representing the cortical bone lining the dental alveolus."
"Radiographic changes in periodontitis are not visible until:","Inflammation reaches the gingiva","Sufficient mineralized tissue has been lost","The pocket depth exceeds 5 mm","The patient reports pain","There is suppuration","Option B","Radiography does not reveal early destructive changes in bone because enough mineralized tissue removal is required to be reflected. Slight changes indicate disease has progressed beyond initial stages."
"Horizontal bone loss on a radiograph is characterized by:","Angular defects along the root","Reduction in height of crest and interdental septa occurring horizontally","Crater-like defects","Radiolucency in furcation area","Wedge-shaped radiolucency pointing to the root","Option B","Horizontal bone loss is a reduction in the height of the crest and interdental septa, occurring horizontally and perpendicular to the long axis of the teeth."
"Which of the following is a limitation of conventional radiography in assessing furcation lesions?","Furcation lesions are always visible","Root superimposition or incorrect angulation may mask furcation involvement","Radiographs overestimate furcation bone loss","Only vertical bone loss is detectable","Furcations cannot be imaged at all","Option B","Furcation involvement may be masked due to root superimposition or incorrect angulation of the X-ray beam. Bone loss is always greater than what is shown on the radiograph."
"To assist in detecting interdental craters radiographically, the clinician should:","Use only panoramic radiographs","Place a radiopaque probe in the pocket before taking the radiograph","Rely solely on clinical probing","Increase the exposure time","Use bitewing radiographs only","Option B","The use of radiopaque indicators (e.g., periodontal probes) placed in the periodontal pocket shows the true extent of the bone lesion on radiographs."
"Which of the following is a radiographic sign of trauma from occlusion?","Narrowing of the periodontal ligament space","Increased thickness of the lamina dura","Widening of the periodontal ligament space and loss of lamina dura","Increased bone density","Root resorption always visible","Option C","The injury phase of trauma from occlusion produces loss of lamina dura and widening of the PDL space. The repair phase also shows widening of PDL space."
"Which advanced imaging modality is commonly used for three-dimensional evaluation of periodontal bone defects?","Intraoral periapical radiography","Bitewing radiography","Cone beam computed tomography (CBCT)","Panoramic radiography","Cephalometric radiography","Option C","CBCT is an advanced imaging modality that provides three-dimensional evaluation of alveolar bone, furcations, and bone defects."
"The ALARA principle in radiography stands for:","As Low As Reasonably Achievable","Always Limit Annual Radiation Absorption","Average Level of Acceptable Radiation","As Long As Radiation is Allowed","Acute Low-dose Radiation Assessment","Option A","The ALARA principle (as low as reasonably achievable) must be considered when choosing imaging modalities to balance diagnostic benefits against potential biological cost."
"According to Prichard's criteria for a diagnostic periapical radiograph, which is correct?","Occlusal surfaces should not be visible","Interproximal spaces should be overlapped","Enamel layer and pulp chamber must be distinguished","Proximal contacts should overlap","Molar cusps should not be visible","Option C","Prichard's criteria include: show cusps of molars, distinguish enamel and pulp chamber, open interproximal spaces, no overlapping of proximal contacts."
"According to Lang et al. (1991), the absence of bleeding on probing has a negative predictive value of:","6%","50%","98%","75%","30%","Option C","Absence of bleeding on probing is a strong indicator of periodontal health with a negative predictive value of 98%."
"What is the definition of clinical attachment level (CAL)?","The depth of the gingival sulcus","The distance from the CEJ to the base of the pocket","The amount of gingival recession","The width of keratinized gingiva","The mobility grade of a tooth","Option B","Clinical attachment level refers to the distance from the cementoenamel junction to the bottom of the periodontal pocket, representing the extent of support loss."
"According to McGuire and Nunn's prognosis system, a 'questionable prognosis' includes:","Class I furcation","25% attachment loss","Attachment loss ≥50% with unfavorable crown-root ratio or Class II/III furcation","No attachment loss","Mobility Grade I","Option C","Questionable prognosis includes attachment loss ≥50% and an unfavorable crown-root ratio, Class II furcation, or Class III furcation."
"Which of the following is a poor prognostic factor for a tooth?","Divergent roots","Short root length","Wide periodontal ligament space","Healthy attached gingiva","Shallow probing depth","Option B","If the root length is short, the periodontium will be more susceptible to occlusal trauma, negatively affecting prognosis."
"What is the primary reason that root concavities negatively affect periodontal prognosis?","They are prone to caries","They are areas very difficult to clean, even though they increase attachment surface","They cause root resorption","They prevent cementum formation","They are always associated with enamel pearls","Option B","Root concavities (e.g., in mandibular first premolars, maxillary first molar mesiobuccal root) are difficult to clean, acting as plaque-retentive factors."
"Which of the following furcation grades indicates that the probe passes through the entire width of the furcation?","Grade 1 (Initial)","Grade 2 (Open)","Grade 3 (Complete)","Grade 4 (Advanced)","Grade 0 (No involvement)","Option C","Grade 3 furcation: the probe passes through the entire width of the tooth crown from one side to the other (through-and-through)."
"What is the recommended force for probing when using the CPITN index?","0.1 N","0.25 N","0.5 N","1 N","2 N","Option B","Probing with the CPITN probe is performed with approximately 0.25 N force."
"In the CPITN index, a code of 4 indicates:","Healthy periodontium","Bleeding on probing","Calculus","Probing depth 3.5-5.5 mm","Probing depth ≥5.5 mm (black band disappears subgingivally)","Option E","Code 4: Probing depths 5.5mm or more, the black band disappears subgingivally."
"Which teeth are the 'Ramfjord teeth' used in the Periodontal Index (PDI)?","16, 21, 24, 36, 41, 44","11, 16, 26, 31, 36, 46","All first molars and incisors","All second molars","Third molars","Option A","The Ramfjord teeth are 16; 21, 24; 36; 41 and 44. If missing, distal neighbor is substituted."
"According to the PDF, what is the most common cause of halitosis (approximately 60%)?","Gastrointestinal disorders","Sinusitis","Periodontal disease","Tongue coating","Medications","Option C","Approximately 60% of halitosis cases are associated with periodontal disease."
"What is the ultimate goal of non-surgical periodontal treatment?","Complete removal of all calculus","Elimination of all oral bacteria","Closure of the periodontal pocket (probing depth ≤4 mm and no bleeding on probing)","Regeneration of alveolar bone","Reduction of tooth mobility to Grade 0","Option C","The ultimate goal is the closure of the periodontal pocket, defined by a probing depth ≤4 mm and absence of bleeding on probing."
"Which of the following is a limitation of scaling and root planing (SRP)?","It completely removes all endotoxins","It is effective in all pocket depths equally","The amount of residual calculus is directly proportional to probing depth","It has no adverse effects","It does not require operator skill","Option C","The narrower and deeper the pockets, the more difficult it is to remove calculus. The amount of residual calculus is directly proportional to probing depth."
"Which curette is specifically designed for subgingival debridement in deep pockets (>5 mm) and has a longer shank?","Universal curette","Gracey curette","After Five extended shank curette","Sickle scaler","Hoe","Option C","After Five curettes have a terminal shank 3 mm longer, allowing access to deeper pockets (>5 mm)."
"Ultrasonic scalers operate at frequencies:","Below 2,000 Hz","Between 2,000 and 10,000 Hz","Above 20,000 Hz","Exactly 15,000 Hz","Below 1,000 Hz","Option C","Ultrasonic devices operate above 20,000 Hz (up to 50,000 Hz). Sonic devices operate between 2,000 and 15,000 Hz."
"What advantage does ultrasonic instrumentation have over manual instrumentation?","Greater tactile sensitivity","Lower risk of damaging cementum","Removal of bacteria through cavitation, acoustic streaming, and lavage","No need for water cooling","No noise or vibration","Option C","Ultrasound removes bacteria via cavitation (bactericidal), acoustic microstreaming (separates biofilm), and continuous lavage (flushes debris)."
"Which of the following is a contraindication for using an ultrasonic scaler in some patients?","Diabetes","Pacemaker (older continuous-rhythm type; caution advised)","Asthma","Hypertension","Pregnancy","Option B","Ultrasonic scalers are contraindicated in patients with older (continuous-rhythm) pacemakers; modern demand-type are generally safe but caution is advised."
"The Bass brushing technique is primarily designed to:","Clean interproximal areas only","Polish the occlusal surfaces","Disrupt plaque at the gingival margin and inside the sulcus","Massage the attached gingiva","Remove stains from tobacco","Option C","The Bass technique (45° angle toward sulcus, vibratory movements) is designed to disrupt plaque at the gingival margin and inside the sulcus."
"Dental floss, when used correctly, can remove plaque up to what depth subgingivally?","1 mm","2-3 mm","5 mm","The entire pocket depth","It cannot remove subgingival plaque","Option B","Dental floss removes up to 80% interproximal plaque and goes 2-3 mm deep subgingivally."
"What is the recommended replacement interval for a manual toothbrush based on the PDF?","Every month","Every 3-4 months based on degree of wear (bent, splayed bristles)","Every 6 months","Once a year","Only when the color fades","Option B","Toothbrushes should be replaced every 3-4 months, but more importantly based on bristle wear (e.g., bent, splayed, frayed)."
"Which of the following is an advantage of manual curettes over ultrasonic scalers?","Faster instrumentation","Less operator fatigue","Greater tactile sensitivity and lower risk of post-treatment sensitivity","Better adaptation to furcations","Produces no contaminated aerosols","Option C","Manual curettes offer greater tactile sensitivity and lower risk of damaging cementum/dentin, and produce less post-treatment sensitivity compared to ultrasonics."
"Chlorhexidine (CHX) is classified as a 2nd generation antiseptic because of its:","Low substantivity (<6 hours)","High substantivity (8-12 hours)","Narrow antimicrobial spectrum","Inability to adhere to oral surfaces","Poor clinical efficacy","Option B","2nd generation agents (CHX) have high substantivity (8-12 hours), allowing once or twice daily use and reducing plaque by 70-90%."
"The mechanism of action of chlorhexidine at high concentrations is:","Bacteriostatic only","Inhibits bacterial adhesion only","Bactericidal by precipitating plasma proteins","Interferes with acquired pellicle formation only","Competes for essential nutrients","Option C","At high concentrations, CHX precipitates plasma proteins causing cell death (bactericidal); at low concentrations it is bacteriostatic."
"To maximize the efficacy of chlorhexidine mouthwash, patients should:","Use it immediately after brushing","Use it at the same time as brushing","Wait 30 minutes after brushing before using CHX, as toothpaste inactivates it","Use it without water","Use it only once a week","Option C","CHX is inactivated by anionic agents (sodium lauryl sulfate) in toothpaste. Wait 30 min between brushing and rinsing."
"Which of the following is a common side effect of chlorhexidine mouthwash?","Tooth whitening","Increased supragingival calculus deposits","Enamel erosion","Increased caries risk","Gingival hyperplasia","Option B","CHX increases supragingival calculus deposits due to pyrophosphatase release from dead bacteria, which then calcify."
"Essential oils mouthwash (Listerine) contains which of the following?","Chlorhexidine","Cetylpyridinium chloride","Menthol, thymol, eucalyptol","Triclosan","Fluoride","Option C","Essential oils mouthwashes contain menthol, thymol, and eucalyptol."
"Triclosan is often combined with which metal salt for a synergistic anti-plaque effect?","Sodium fluoride","Stannous fluoride","Zinc citrate","Potassium nitrate","Calcium glycerophosphate","Option C","Triclosan is more effective when associated with metallic salts like Zinc Citrate/Zinc Lactate for a synergistic effect."
"Systemic antibiotic treatment in periodontics is considered:","First-line treatment","A replacement for scaling and root planing","An adjunctive treatment for specific severe or aggressive cases","Always necessary after surgery","Only for children","Option C","Systemic antibiotics are adjunctive, not a substitute for conventional mechanical therapy. They are indicated for severe, advanced, aggressive periodontitis, abscesses, etc."
"Which antibiotic is especially effective against strict anaerobic Gram-negative bacteria like P. gingivalis?","Amoxicillin","Metronidazole","Clindamycin","Azithromycin","Doxycycline","Option B","Metronidazole has a bactericidal effect by denaturing DNA and is especially effective on Gram-negative strict anaerobic bacteria."
"According to the PDF, probiotics in the oral cavity may exert beneficial effects by:","Replacing chlorhexidine","Directly killing viruses","Immune regulation, producing antimicrobial substances, and competing for nutrients","Increasing calculus formation","Causing tooth staining","Option C","Probiotics act via immune regulation (increasing phagocytosis), production of antimicrobial substances (lactic acid, bacteriocins), and exclusion mechanisms."
"Which of the following is an indication for the use of antiseptic mouthwashes in periodontics?","As a replacement for brushing","During the hygienic phase if oral hygiene is inadequate or inflammation persists","Only for caries prevention","Only for halitosis","Only before surgery","Option B","Mouthwashes are indicated during the hygienic phase simultaneously or after SRP if oral hygiene is inadequate and/or inflammation persists, and in maintenance for localized pockets."
"Periodontal maintenance (Supportive Periodontal Therapy) is defined as:","A preventive procedure for healthy patients","A therapeutic procedure performed in patients with history of periodontitis to prevent recurrence","The same as routine prophylaxis","Only necessary after implant placement","A one-time treatment","Option B","Periodontal maintenance is a therapeutic procedure performed in patients with a history of periodontitis to control a chronic disease and prevent recurrence."
"What is the primary biological rationale for periodontal maintenance?","To whiten the teeth","To prevent calculus formation permanently","Biofilm reforms immediately after treatment, and pathogens can return to baseline within 9-11 weeks","To reduce tooth sensitivity","To improve smile aesthetics","Option C","The causative biofilm reforms immediately, and periodontal pathogens can return to baseline levels within approximately 9 to 11 weeks, requiring regular maintenance."
"After active periodontal therapy, clinical re-evaluation to establish the maintenance protocol is typically performed at:","1 week","2-3 days","4-8 weeks","6 months","1 year","Option C","Connective tissue repair occurs between 4 and 8 weeks, and subgingival bacterial recolonization is observed after about 2 months, so re-evaluation at 4-8 weeks is practical."
"In a high-risk patient (poor hygiene, smoker), what recall interval is recommended?","Every 6-12 months","Every 3-4 months","Once a year","Every 2 years","Only when symptoms appear","Option B","High-risk / poor hygiene patients should have shorter intervals of 3-4 months. Low-risk patients may have 6-12 month intervals."
"What is the difference between periodontal maintenance and prophylaxis?","Maintenance is for healthy patients; prophylaxis is for periodontitis patients","Prophylaxis is a preventive procedure for healthy patients; maintenance is a therapeutic procedure for patients with history of periodontitis","There is no difference","Maintenance is more expensive","Prophylaxis includes radiographs","Option B","Prophylaxis is a preventive procedure in periodontally healthy patients; maintenance (SPT) is a therapeutic procedure in patients with history of periodontitis to control chronic disease."
"Which of the following is a warning sign of disease recurrence during a maintenance visit?","Probing depth 2 mm with no bleeding","Bleeding on probing and increased probing depth","Absence of suppuration","Stable clinical attachment level","Good plaque control","Option B","Warning signs include increased probing depth (PD), bleeding on probing (BOP), loss of clinical attachment (CAL), and presence of suppuration."
"What is included in a typical periodontal maintenance visit?","Only supragingival polishing","Mechanical debridement (ultrasonic + curettes), reinforcement of oral hygiene, and assessment of periodontal parameters","Only oral hygiene instructions","Only radiographs","Only extraction of mobile teeth","Option B","A maintenance visit includes mechanical debridement (supra- and subgingival biofilm/calculus removal), reinforcement of oral hygiene, and assessment of PD, BOP, CAL, etc."
"Why is subgingival cleaning essential during periodontal maintenance?","To whiten the roots","To remove stains","Periodontal pathogens are primarily located in periodontal pockets","To reduce tooth mobility permanently","To eliminate supragingival plaque","Option C","Subgingival cleaning is essential because periodontal pathogens are primarily located in periodontal pockets, not just supragingivally."
"After successful periodontal treatment, a patient who quits smoking will likely have:","No change in prognosis","Worsened prognosis","Improved prognosis compared to continuing smokers","The same prognosis as a non-smoker immediately","Permanent attachment loss reversal","Option C","Patients with periodontal disease who quit smoking improve their prognosis. Smoking negatively affects healing and treatment response."
"What is the main objective of the maintenance phase?","To perform complex restorative procedures","To prevent reinfection and recurrence of periodontal disease","To whiten the teeth","To extract all remaining teeth","To place dental implants","Option B","The purpose of the maintenance phase is the prevention of reinfection and recurrence of the disease, due to patient susceptibility and high risk of recurrence."
