Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
Which structure forms the basal lamina?,Lamina lucida and lamina densa,Stratum corneum and stratum granulosum,Stratum basale and stratum spinosum,Collagen and elastin,Reticulin and oxytalan,Option A,"At the ultramicroscopic level, the basal lamina is formed by the lamina lucida and the lamina densa."
Does the sulcular epithelium normally possess a stratum corneum?,"Yes, it is highly keratinized","No, it lacks a granular stratum and corneum stratum","Yes, but only in smokers","Yes, it is parakeratinized",It depends on the patient's age,Option B,"It is a thin, non-keratinized stratified squamous epithelium and lacks a granular stratum and corneum stratum."
What is the turnover rate of the junctional epithelium?,1 - 3 days,4 - 6 days,10 - 30 days,40 - 50 days,More than 60 days,Option B,The junctional epithelium is in constant renewal with a turnover rate of 4-6 days.
Which type of collagen is the most common in the gingival connective tissue?,Type I,Type II,Type III,Type IV,Type VII,Option A,"The most common collagen in the mucosa, as well as in skin, bone, dentin, and cement, is type I."
What cell type is predominant in the lamina propria of the gingiva?,Macrophages,Neutrophils,Fibroblasts,Osteoblasts,Cementoblasts,Option C,Fibroblasts constitute 65% of the cells and are the predominant cell type in the lamina propria.
What is the approximate width of the periodontal ligament (PDL)?,0.01 mm,0.2 mm,1.0 mm,2.0 mm,5.0 mm,Option B,"The thickness of the periodontal ligament is about 0.2 mm (200 micrometers), although with variations."
What are Sharpey fibers?,Fibers that form the stratum corneum,Fibers that connect the gingiva to the tongue,Fiber bundles inserted at one end in the cementum and the other in the alveolar bone,Fibers that form the acquired pellicle,Fibers that innervate the pulp,Option C,Sharpey fibers are fiber bundles inserted at one end in the cementum and the other in the dense lamina of the alveolar bone.
Which group of periodontal ligament fibers is the largest and bears vertical masticatory stresses?,Cresto-alveolar,Horizontal,Inter-radicular,Apical,Obliques,Option E,Oblique fibers are the largest group and bear the brunt of vertical masticatory stresses.
Which type of cementum is formed first and does not contain cells?,Cellular cementum,Acellular cementum,Secondary cementum,Tertiary cementum,Fascicular cementum,Option B,"Acellular cementum is the first cementum formed, does not contain cells, and usually covers the cervical third or half of the root."
The alveolar bone wall adjacent to the periodontal ligament is perforated by numerous canals known as:,Haversian canals,Volkmann canals,Sharpey canals,Root canals,Dental tubules,Option B,"Fascicular bone is perforated by numerous Volkmann conduits, where blood vessels and nerve fibers pass."
Which cells are responsible for bone resorption in the alveolar bone?,Osteoblasts,Fibroblasts,Cementoblasts,Osteoclasts,Macrophages,Option D,"The resorption of bone is carried out by multinucleated cells called osteoclasts, located in Howship lacunae."
Which hypothesis stated that periodontal disease was the result of an accumulation of plaque over time as a biomass?,Specific Plaque Hypothesis,Ecological Plaque Hypothesis,Non-specific Plaque Hypothesis,Keystone Pathogen Hypothesis,Dysbiosis Hypothesis,Option C,The Non-specific Plaque Hypothesis conceived dental plaque as a biomass where quantity dictates the pathogenic effect.
Who developed the Specific Plaque Hypothesis in 1979?,Theilade,Loesche,Marsh,Costerton,Socransky,Option B,The Specific Plaque Hypothesis was proposed by Loesche in 1979.
What does the Ecological Plaque Hypothesis suggest?,Only specific bacteria cause disease,Plaque quantity alone causes disease,Both the quantity of plaque and its microbial composition contribute to the transition from health to disease,Diet is the sole cause of periodontitis,Viruses are the main cause of periodontitis,Option C,"The Ecological Plaque Hypothesis states that both quantity and composition, driven by environmental factors, contribute to disease."
What makes up 75-80% of the total volume of a biofilm?,Bacterial cells,Saliva,Matrix / Glycocalyx,White blood cells,Red blood cells,Option C,The Matrix / Glycocalyx composes 75-80% of the total volume of a biofilm.
What is quorum sensing?,The ability of bacteria to move rapidly,Bacterial communication through signaling molecules to regulate gene expression,The process of bone resorption,The formation of the acquired pellicle,The mineralization of plaque into calculus,Option B,Quorum sensing is the process by which bacteria communicate using chemical signals to regulate specific gene expression.
What forms immediately after the immersion of a solid substrate into the oral cavity?,Dental calculus,Materia alba,Acquired pellicle,Periodontal pocket,Granulation tissue,Option C,Hydrophobic macromolecules are adsorbed to form the acquired pellicle immediately after cleaning a solid surface.
"During the first 4-8 hours of plaque formation, between 60% and 80% of the bacteria belong to which genus?",Porphyromonas,Treponema,Streptococcus,Fusobacterium,Aggregatibacter,Option C,"In the first 4-8 hours, 60-80% of bacteria belong to the genus Streptococcus."
"Which substance is described as a soft, white accumulation of bacteria, decaying food, and shed cells lacking an organized structure?",Dental calculus,Acquired pellicle,Materia alba,Biofilm matrix,Gingival crevicular fluid,Option C,"Materia alba consists of soft, white accumulations lacking an organized structure, easily removed by irrigators."
What is the predominant inorganic component of dental calculus?,Calcium carbonate,Magnesium whitlockite,Hydroxyapatite,Brushite,Octacalcium phosphate,Option C,Hydroxyapatite represents 58% of the main crystalline forms in dental calculus.
"According to Socransky's complexes, which of the following bacteria belongs to the Red Complex?",Streptococcus sanguinis,Fusobacterium nucleatum,Porphyromonas gingivalis,Capnocytophaga,Eikenella corrodens,Option C,"The Red Complex includes Porphyromonas gingivalis, Tannerella forsythia, and Treponema denticola."
Which bacterial species is defined as a 'bridging bacterium' because it facilitates the coaggregation of other species?,Aggregatibacter actinomycetemcomitans,Streptococcus mutans,Treponema denticola,Fusobacterium nucleatum,Campylobacter rectus,Option D,Fusobacterium nucleatum is a bridging bacterium that facilitates the coaggregation of T. denticola and P. gingivalis.
Aggregatibacter actinomycetemcomitans is strongly associated with which condition?,Dental caries,Aggressive periodontitis,Oral candidiasis,Erythema multiforme,Lichen planus,Option B,"It has been strongly associated with aggressive periodontitis, both localized and generalized forms."
Gingipains are powerful virulence factors produced by which pathogen?,Tannerella forsythia,Aggregatibacter actinomycetemcomitans,Porphyromonas gingivalis,Fusobacterium nucleatum,Treponema denticola,Option C,Gingipains are multifunctional protein enzymes (virulence factors) produced by P. gingivalis.
Treponema denticola belongs to which group of microorganisms?,Gram-positive cocci,Spirochetes,Gram-positive bacilli,Fungi,Viruses,Option B,"Spirochetes are Gram-negative, helical, highly motile microorganisms, with Treponema denticola being the most significant in periodontics."
Streptococcus sanguinis is considered a beneficial bacterium because it produces what substance that inhibits A. actinomycetemcomitans?,Lactic acid,Gingipains,Hydrogen peroxide (H2O2),Endotoxins,Beta-lactamase,Option C,S. sanguinis produces hydrogen peroxide (H2O2) that can inhibit the development of A. actinomycetemcomitans.
"As periodontal health progresses towards periodontitis, the oral flora shifts from Gram-positive to what?",Viruses,Fungi,Gram-negative,Aerobic bacilli,Yeast,Option C,"The microbial flora shifts from gram-positive to gram-negative, from cocci to bacilli/spirochetes, and from facultative to strict anaerobes."
"In Koch's postulates, what is the first requirement?",The microorganism must be eliminated by antibiotics,The microorganism must be routinely isolated from diseased individuals,The microorganism must produce gingipains,The microorganism must be a spirochete,The microorganism must form a biofilm,Option B,The first postulate is that the organism must be routinely isolated from diseased individuals.
What does the Keystone Pathogen Hypothesis suggest?,Plaque quantity is the only disease driver,A dominant species influences inflammation merely through abundance,Pathogens like P. gingivalis trigger inflammation even in low numbers by altering host response,Viruses act as keystones in periodontitis,Beneficial bacteria cause disease when overgrown,Option C,Keystone pathogens can trigger inflammation even in low numbers by altering the host immune response and creating dysbiosis.
Which enzyme produced by bacteria inactivates beta-lactam antibiotics like amoxicillin?,Catalase,Superoxide dismutase,Beta-lactamase,Elastase,Cellulase,Option C,"Bacteria in biofilms can produce beta-lactamase, which inactivates beta-lactam antibiotics such as amoxicillin."
"Which molecule, derived from the subgingival microbiota, acts as an endotoxin to elicit strong immune responses?",Prostaglandin E2,Interleukin-1,Lipopolysaccharides (LPS),Matrix metalloproteinases,Tumor necrosis factor,Option C,Lipopolysaccharides (LPS) are found in the outer membrane of gram-negative bacteria and act as endotoxins.
Which host-derived inflammatory mediator is primarily responsible for inducing osteoclastic bone resorption in periodontitis?,Interleukin-10,Prostaglandin E2 (PGE2),Beta-lactamase,Hydrogen sulfide,Ammonia,Option B,"PGE2 induces the secretion of MMPs and osteoclastic bone resorption, playing a fundamental role in bone destruction."
What is the primary function of Matrix Metalloproteinases (MMPs) in inflamed periodontal tissues?,Synthesize new bone,Produce antibodies,Degrade connective tissue / collagen,Neutralize bacterial toxins,Inhibit osteoclasts,Option C,"MMPs, such as MMP-1, are enzymes whose excess secretion leads to the degradation of connective tissue in inflamed periodontium."
"Which cells are considered the first line of innate immune defense, migrating through the junctional epithelium to phagocytose bacteria?",B lymphocytes,T lymphocytes,Eosinophils,Polymorphonuclear leukocytes (PMNs / Neutrophils),Osteoblasts,Option D,"PMNs (Neutrophils) act as the first line of innate immune defense, migrating to phagocytose bacteria."
What is the primary function of B Lymphocytes in the adaptive immune system?,Phagocytosis of bacteria,Formation of the acquired pellicle,Transformation into plasma cells that produce antibodies,Direct lysis of infected cells,Secretion of MMPs,Option C,"When a B cell contacts its specific antigen, it transforms into a plasma cell that produces antibodies."
Which anti-inflammatory cytokine helps regulate the immune response in periodontitis?,IL-1 beta,TNF-alpha,PGE2,IL-10,MMP-8,Option D,IL-10 and TGF-beta are anti-inflammatory cytokines that act as part of a complex network of mediators.
The Membrane Attack Complex (MAC) is the final lytic pathway of which immune system component?,T Lymphocytes,B Lymphocytes,Complement System,Macrophages,Fibroblasts,Option C,"The MAC is formed by the activation of the Complement System, causing the final lytic burst of the microorganism."
"What condition is characterized by a severe Vitamin C deficiency causing spongy, hemorrhagic, and swollen gingival lesions?",Diabetes Mellitus,Leukemia,Scurvy,Lichen Planus,Pemphigus Vulgaris,Option C,"Severe Vitamin C deficiency, or scurvy, impairs collagen synthesis resulting in weakened capillary walls and severe gingival bleeding."
Which of the following medications is a calcium channel blocker associated with drug-induced gingival enlargement?,Phenytoin,Cyclosporine A,Nifedipine,Amoxicillin,Ibuprofen,Option C,Nifedipine (along with Verapamil and Diltiazem) is a calcium channel blocker associated with 15-20% incidence of gingival enlargement.
"According to Page and Schroeder, which histopathological stage is characterized by a predominance of plasma cells and alveolar bone resorption?",Initial gingivitis,Early gingivitis,Established gingivitis,Periodontitis,Gingival health,Option D,"The Periodontitis stage is characterized by apical proliferation of junctional epithelium, predominance of plasma cells, and alveolar bone resorption."
How does smoking primarily affect the clinical presentation of periodontal disease?,It increases gingival bleeding significantly,It masks clinical signs of inflammation due to microvascular vasoconstriction,It increases salivary flow,It causes rapid enamel erosion,It stimulates osteoblast proliferation,Option B,"Smoking causes microvascular vasoconstriction and fibrosis, which can mask clinical signs like bleeding on probing."
Which of the following is a key characteristic of Pregnancy-associated gingivitis?,Severe bone loss within 1 month,Vesicle formation on the palate,Exaggerated inflammatory response to relatively low amounts of plaque,Complete loss of interdental papillae,Decreased gingival exudate,Option C,"In pregnancy, a combination of hormones and plaque may increase severity, leading to severe inflammation with low amounts of plaque."
"Which condition presents as an acute viral infection characterized by multiple small vesicles that rupture to form painful ulcerations, often with systemic fever?",Erythema multiforme,Primary herpetic gingivostomatitis,Lupus erythematosus,Lichen planus,Candidiasis,Option B,"Primary herpetic gingivostomatitis is caused by HSV-1/2, characterized by painful vesicles, ulcerations, and systemic signs like fever."
Which autoimmune condition presents clinically as desquamative gingivitis and typically shows a positive Nikolsky sign?,Lichen planus,Erythema multiforme,Pemphigus vulgaris,Histoplasmosis,Leukemia,Option C,Pemphigus vulgaris features intraepithelial bullae and demonstrates a positive Nikolsky sign.
What are Wickham striae?,Lines of bone loss on a radiograph,White reticular striations characteristically seen in Lichen planus,Bacterial tracks in the acquired pellicle,Scratches on enamel from abrasive brushing,Stretch marks on the lips,Option B,"Wickham striae are white papules and striations forming a reticular pattern, characteristic of Lichen planus."
"In the 2017 World Workshop Classification, which two traditional terms for periodontitis were eliminated?",Gingivitis and Periodontitis,Chronic and Aggressive periodontitis,Localized and Generalized periodontitis,Necrotizing and Ulcerative periodontitis,Mild and Severe periodontitis,Option B,"The new classification eliminated the terms chronic and aggressive periodontitis, replacing them with a Staging and Grading system."
"In the 2017 Classification, what is the primary determinant used to establish the 'Stage' of periodontitis?",Bleeding on probing,Number of missing teeth,Interdental Clinical Attachment Loss (CAL),Patient age,Salivary flow rate,Option C,"Clinical attachment loss (CAL) is the primary determinant of Stage. If unavailable, radiographic bone loss can be used."
What does the 'Grade' reflect in the 2017 Periodontitis Classification?,The total number of teeth present,The risk or evidence of disease progression and expected response to treatment,The amount of calculus on the teeth,The depth of the gingival sulcus in millimeters,The specific bacteria present in the biofilm,Option B,"Grade provides information about the biological behavior, including the rate of disease progression and impact on systemic health."
Which two main risk factors are used as 'Grade Modifiers' in the 2017 classification?,Stress and poor diet,Age and gender,Smoking and Diabetes Mellitus (HbA1c levels),Hypertension and hyperlipidemia,Alcohol consumption and bruxism,Option C,Smoking and Diabetes Mellitus (measured by HbA1c) are the main risk modifiers that can alter the Grade.
What defines a Recession Type 1 (RT1) according to the new mucogingival classification?,Recession associated with loss of interproximal attachment greater than buccal attachment loss,Gingival recession with no loss of interproximal attachment,Recession caused exclusively by orthodontic forces,Recession combined with deep periodontal pockets,Recession affecting only palatal surfaces,Option B,"RT1 is gingival recession with no loss of interproximal attachment, where the interproximal CEJ is clinically not detectable."
What is the ALARA principle in radiography?,Always Look At Radiographs Accurately,As Low As Reasonably Achievable (for radiation exposure),All Lesions Are Radiographically Apparent,Acquire Lateral And Rostral Angles,Anatomical Landmarks Are Rarely Accurate,Option B,The ALARA principle means 'as low as reasonably achievable' regarding radiation exposure.
Why is the interdental bone used primarily for evaluating bone changes in periodontal disease?,It is the only bone that resorbs,Buccal and palatal bone plates are obscured by the dense radiopaque root structure,It is easier to access clinically,It contains more marrow spaces,It lacks a lamina dura,Option B,The relatively dense/radiopaque root structure obscures the buccal and palatal/lingual bone plates on radiographs.
Which radiographic technique provides a more accurate projection of the alveolar bone level without distortion?,Bisecting-angle technique,Long-cone paralleling technique,Panoramic radiography,Cephalometric radiography,Water's projection,Option B,The long-cone paralleling technique provides a more accurate projection of the alveolar bone level.
"In a healthy adolescent, what is the typical distance between the cementoenamel junction (CEJ) and the alveolar crest on a radiograph?",0 mm,About 2 mm,4 mm,6 mm,10 mm,Option B,Most studies in adolescents suggest a distance of about 2 mm between the CEJ and the alveolar crest reflects a normal periodontium.
Which feature of a periodontal defect cannot be accurately determined from conventional 2D radiographs?,The level of the interdental crest,The presence of a continuous lamina dura,The internal morphology or depth of crater-type defects on buccal/lingual surfaces,The presence of gross horizontal bone loss,The presence of subgingival calculus on proximal surfaces,Option C,"Because radiographs are 2D, they do not indicate the internal morphology or depth of crater-type defects on buccal/lingual surfaces."
What is a typical radiographic presentation of a periodontal abscess?,A massive multilocular radiolucency in the ramus,A discrete radiolucent area along the lateral surface of the root,A radiopaque mass attached to the apex,A widening of the entire mandibular canal,Generalized horizontal bone loss,Option B,The typical radiographic appearance of a periodontal abscess is a discrete radiolucent area along the lateral surface of the root.
Which of the following radiographic changes is commonly associated with Trauma from Occlusion?,Formation of enamel pearls,Narrowing of the entire pulp chamber,Widening of the periodontal ligament (PDL) space,Hypercementosis at the cervical third,Complete obliteration of the PDL space,Option C,Trauma from occlusion can produce a loss of the lamina dura and widening of the PDL space.
What are Enamel Pearls?,Calculus deposits that have calcified intensely,Enamel deposits located along the root surface extending beyond the CEJ,Resin restorations mimicking enamel,Cysts filled with enamel-like fluid,Benign tumors of the gingiva,Option B,"Enamel pearls are enamel deposits located along the root surface, often preventing connective tissue attachment and related to furcation lesions."
How is Clinical Attachment Level (CAL) calculated if the gingival margin is apical to the CEJ (gingival recession)?,Subtract probing depth from recession,It is equal to the probing depth,Add the probing depth and the recession amount,Divide probing depth by two,Measure only the recession,Option C,"If the gingival margin is apical to the CEJ, you add the probing depth and the recession to determine the clinical attachment level."
"According to Lang et al. (1991), what is the negative predictive value of the absence of bleeding on probing for periodontal disease progression?",6%,25%,50%,75%,98%,Option E,"The absence of bleeding on probing is a strong indicator of periodontal health, with a negative predictive value of 98%."
Which specific instrument is designed to evaluate the horizontal component of a furcation lesion?,Florida probe,Nabers probe,WHO probe,Sickle scaler,Gracey curette,Option B,The Nabers probe is specifically designed to explore and evaluate the horizontal penetration of furcation lesions.
"According to the furcation classification, what defines a Grade 3 (Complete) furcation?",Probe enters but does not exceed one third of the tooth width,Probe passes beyond one third but not entirely through,Probe passes through the entire width of the tooth crown from one side to the other,Furcation is only visible radiographically,Furcation is covered by an enamel pearl,Option C,"In a Grade 3 furcation, the probe passes completely through the entire width of the tooth from one side to the other."
Which term describes occlusal wear caused by functional contact between opposing teeth?,Abrasion,Abfraction,Erosion,Attrition,Resorption,Option D,"Attrition is occlusal wear caused by functional contact between opposing teeth, often presenting on incisal/occlusal surfaces."
"Wedge-shaped cervical lesions, often located on the buccal surface and hypothetically caused by unfavorable occlusal loading, are called:",Erosion,Abrasion,Abfraction,Attrition,Caries,Option C,Abfraction (non-carious cervical lesions) are wedge-shaped lesions hypothetically resulting from occlusal loading causing flexion and microfractures.
"According to the CPITN (Community Periodontal Index of Treatment Needs), what does a Code 3 indicate?",Healthy periodontium,Bleeding on probing only,Presence of supra/subgingival calculus,Probing depths between 3.5 and 5.5 mm,Probing depths 5.5 mm or more,Option D,"Code 3 indicates probing depths between 3.5 and 5.5 mm, where the black band of the WHO probe remains partially visible."
The Papilla Bleeding Index (PBI) scores bleeding intensity from 1 to 4. What does Grade 4 represent?,A single bleeding point,A fine line of blood,The interdental triangle filled with blood,Profuse bleeding where blood flows by gravity into the interdental region,No bleeding,Option D,"Grade 4 represents profuse bleeding after probing, where blood flows by gravity into the interdental region."
"When evaluating the prognosis of a tooth, which factor implies an 'Impossible' prognosis requiring extraction according to McGuire & Nunn?",Class I furcation,25% attachment loss,Mobility > III or inadequate insertion for tooth maintenance,Deep developmental groove,Presence of enamel pearl,Option C,"An impossible prognosis is defined by inadequate insertion for tooth maintenance, Mobility > III, or untreatable root caries requiring extraction."
"A patient presents with a deep periodontal pocket, loss of vitality in the affected tooth, and a periapical lesion communicating with the pocket. This condition is known as:",Necrotizing stomatitis,Endoperiodontal lesion,Primary herpetic gingivostomatitis,Erythema multiforme,Pyogenic granuloma,Option B,"Endoperiodontal lesions involve both pulp and periodontal tissues, typically presenting with deep pockets reaching the apex and altered pulp vitality."
"During a clinical examination, 'edematous' gingiva is typically characterized by:","Firm, stippled, and opaque appearance",Thick and rounded margins,"Smooth, shiny, soft, and reddish appearance",Heavy keratinization,Presence of Wickham striae,Option C,"Edematous gingival reactions are characterized by smooth, shiny, soft, and reddish gingiva."
What is the primary characteristic of 'fibrotic' gingival inflammation?,Smooth and shiny surface,Bluish-purple color with vesicles,"Firmer gingiva, stippled and opaque, with a thick rounded margin",Spontaneous profuse bleeding,Ulceration of the papillae,Option C,"Fibrotic inflammation presents as firmer gingiva, stippled and opaque, with a thick and rounded margin."
"According to the classification of antiseptic agents, what is the substantivity of 1st Generation Agents?",Less than 6 hours,8 to 12 hours,24 hours,48 hours,1 week,Option A,"1st Generation Agents have low substantivity, usually less than 6 hours, and are quickly removed by saliva."
Chlorhexidine is classified as a 2nd Generation Agent due to its high substantivity. How long is its substantivity?,1 to 2 hours,3 to 5 hours,8 to 12 hours,24 to 48 hours,7 days,Option C,"Chlorhexidine has high substantivity, adhering easily and releasing slowly over 8 to 12 hours."
What is the mechanism of action of Chlorhexidine at high concentrations?,Stimulates bacterial growth,Inhibits viral replication only,Precipitates plasma proteins causing a bactericidal effect,Promotes plaque mineralization,Acts solely as a fluoride donor,Option C,"At high concentrations, Chlorhexidine precipitates plasma proteins, exerting a bactericidal effect."
Which of the following is a common adverse effect of Chlorhexidine mouthwash?,Gingival hyperplasia,Yellow/brown staining on hard and soft oral surfaces,Severe bone resorption,Enamel hypoplasia,Increased salivary flow,Option B,"A common adverse effect is variable yellow/brown staining on hard/soft surfaces, accentuated by certain foods and drinks."
Why is it recommended to wait 30 minutes between brushing with regular toothpaste and rinsing with Chlorhexidine?,To allow teeth to remineralize,Chlorhexidine is inactivated by anionic detergents like sodium lauryl sulphate in toothpaste,To prevent burning the tongue,To maximize fluoride absorption,To avoid enamel microfractures,Option B,Chlorhexidine is inactivated by anionic agents (sodium lauryl sulphate) found in detergents of regular toothpastes.
Triclosan is a 1st generation broad-spectrum agent. Why has its use been restricted in the European Union?,It causes severe tooth staining,It is highly teratogenic,It has an impact on the environment (not biodegradable) and safety concerns,It accelerates calculus formation,It interacts negatively with dental implants,Option C,Triclosan is restricted because it is not biodegradable (environmental impact) and for safety reasons evaluated by EU scientific committees.
Which systemic antibiotic is particularly effective against strict Gram-negative anaerobic bacteria like P. gingivalis and is often used in combination with Amoxicillin?,Erythromycin,Metronidazole,Spiramycin,Clindamycin,Azithromycin,Option B,Metronidazole is highly effective against strict Gram-negative anaerobes and is often combined with Amoxicillin in aggressive cases.
"When using manual toothbrushes, which brushing technique is specifically designed to disrupt plaque at the gingival margin and inside the sulcus by angling bristles 45 degrees towards the root?",Stillman technique,Charters technique,Bass technique,Fones technique,Scrub technique,Option C,"The Bass technique angles the bristles 45 degrees toward the root, penetrating the sulcus slightly to disrupt plaque."
The Charters brushing technique directs the toothbrush bristles in which direction?,Towards the gingival sulcus,Directly perpendicular to the tooth,"Away from the gingiva, pointing toward the occlusal or incisal surface",Parallel to the occlusal plane,In a purely horizontal scrub motion,Option C,"The Charters technique points bristles away from the gingiva toward the occlusal/incisal surface, useful for open embrasures/orthodontics."
How much interproximal plaque can correctly applied dental floss remove?,Up to 20%,Up to 40%,Up to 60%,Up to 80%,100%,Option D,"Correctly applied dental floss can remove up to 80% of interproximal plaque, reaching 2-3 mm deep."
What is the ultimate clinical goal of non-surgical periodontal treatment (Scaling and Root Planing)?,To extract hopeless teeth,To regenerate lost alveolar bone completely,Closure of the periodontal pocket (PD <= 4mm and no BOP),To apply systemic antibiotics indefinitely,To place dental implants,Option C,"The ultimate goal is the closure of the periodontal pocket, defined by probing depth <= 4 mm and absence of bleeding on probing."
"In manual instrumentation, which curette features a terminal shank that is 3 mm longer than standard, designed to access deeper pockets?",Universal curette,Sickle scaler,After Five extended shank curette,Mini-Five curette,Hoe scaler,Option C,"After Five extended shank curettes have a terminal shank 3 mm longer, allowing access to deeper pockets (>5 mm)."
Why are sickle scalers contraindicated for subgingival root planing?,They are too flexible,They have a third cutting edge ending in a sharp point that could damage soft tissues,They cannot remove supragingival calculus,They are made of plastic,They only fit in furcations,Option B,"Sickle scalers have three cutting edges ending in a point, making them unsafe for subgingival use as they could lacerate soft tissues."
Ultrasonic devices in periodontics operate at frequencies above what threshold?,"1,000 Hz","5,000 Hz","10,000 Hz","20,000 Hz","100,000 Hz",Option D,"Ultrasonic devices operate at frequencies above 20,000 Hz."
"What effect of ultrasonic scaling creates fluid flows within the biofilm, creating evaporation zones that kill anaerobic bacteria?",Bacterial cavitation,Acoustic microstreaming,Continuous lavage,Piezoelectric shock,Thermal ablation,Option B,"Acoustic microstreaming creates fluid flows that separate the biofilm and generate evaporation zones with oxygen, killing anaerobes."
Which type of dental restoration is contraindicated for cleaning with an ultrasonic scaler due to the risk of chipping?,Composite resin,Amalgam,Gold crowns,Metal-ceramic (porcelain) crowns,Glass ionomer,Option D,"Metal-ceramic crowns should not be cleaned with ultrasound, as the porcelain vibrates differently from metal and may detach or chip."
"When a bicarbonate polishing device is used, what precaution must be taken regarding the patient's eyes?",The patient must keep their eyes closed tightly,The patient must wear lead-lined glasses,Patients wearing contact lenses must remove them or wear protective goggles to prevent scratching,No precaution is necessary,The patient must look downwards,Option C,"Bicarbonate particles can scratch and damage contact lenses, so they must be removed or adequately protected with goggles."
"Following active periodontal therapy (SRP), when is the comprehensive clinical re-evaluation typically performed?",24 hours later,1 week later,4 - 8 weeks later,6 months later,1 year later,Option C,A practical and widely accepted approach is to perform a comprehensive clinical re-evaluation at 4-8 weeks after completion of therapy.
"In Supportive Periodontal Therapy (Maintenance), how often should a high-risk patient with poor hygiene be scheduled?",Every 1 - 2 weeks,Every 3 - 4 months,Every 6 - 8 months,Once a year,Every 2 years,Option B,"High-risk patients or those with poor hygiene require shorter intervals, typically every 3-4 months."
"According to studies, if a treated periodontitis patient is NOT placed on a maintenance program, subgingival bacterial recolonization to baseline levels typically occurs within what timeframe?",1-2 days,2 weeks,9 to 11 weeks (approx. 2 months),6 months,2 years,Option C,Periodontal pathogens can return to baseline levels within approximately 9 to 11 weeks without effective maintenance.
